dock.id,file.name.ligand.pdbqt,file.name.flex.pdbqt,winner,receptor,ligand.name,ligand.name.index,ligand.type,rotation,binding.mode,buried,measure.type,measure.value
12,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_2.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_2.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,2,beta.O3,Binding.Energy.Vina,-5.892
12,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_2.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_2.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,2,beta.O3,Binding.Energy.Difference,-3.965
12,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_2.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_2.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,2,beta.O3,torsion.c6c7,-102.439581025559
12,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_2.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_2.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,2,beta.O3,torsion.c26c27,-112.170982810368
12,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_2.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_2.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,2,beta.O3,distance.landmark,3.2249263557483
12,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_2.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_2.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,2,beta.O3,distance.HH.C24,23.5421138600594
12,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_2.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_2.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,2,beta.O3,distance.HH.C26,21.1054883146541
13,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_3.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_3.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,3,epsilon.O23,Binding.Energy.Score.Only,-8.823
13,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_3.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_3.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,3,epsilon.O23,Ligand.Internal.Energy,0
13,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_ligand_mode_3.pdbqt,SPLIT_RPE65_STQ2/split_RPE65_1rwt_A0620_dietaryluteinligand_stq2_flex_mode_3.pdbqt,FALSE,RPE65,1rwt_A0620_dietaryluteinligand_stq2,1,STQ2,2,3,epsilon.O23,Binding.Energy.Vina,-5.258
